Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Type],Comment [Cell Line],Treatment Protocol,Image Acquisition Protocol,Experimental Condition [Reporter],Experimental Condition [Treatment],Experimental Condition [His8-pLAT],Experimental Condition [His10- Ezrin (ABD)],Experimental Condition [Grb2],Experimental Condition [Sos1],Experimental Condition [pSLP-76],Experimental Condition [Nck],Experimental Condition [N-WASP],Experimental Condition [WASP],Experimental Condition [Actin],Experimental Condition [Myosin II],Experimental Condition [KCl],Experimental Condition [ATP],Assay Name,Image File,Comment [Image File Comments],Comment [Image File Type],Channels
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 8,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 8,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 9,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 9,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 10,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 10,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 11,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 11,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 12,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 12,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 13,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 13,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 14,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 14,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 15,,,,,,,,,,"Images were captured every 5 seconds for 5, 2.6, or 3.1 minutes, 60, 32, 38 images per time-lapse, respectively",pLAT-AlexaFluor488; Actin-Rhodamine,"pLAT was labeled with AlexaFluor 488. Actin was labeled with Rhodamine. Myosin, Grb2_Basic, and Sos1 were unlabeled. Rhodamine-F-Actin was attached to the membrane by binding membrane-bound His-Ezrin ABD. Grb2_Basic and Sos1 were added to bilayers coated with His-pLAT and an actin network to induce phase separation prior to image acquisition. Myosin was added to the reaction during image acquisition to induce contraction of the actin filaments.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM (Grb2_Basic),125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,100 nM,50 mM,0.05 mM,"Actomyosin contraction of phase separated condensates of LAT, Grb2_Basic, Sos1",Contraction Grb2_Basic/pLAT ... Grb2_Basic ... Sos1 Contraction 15,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Two Channel, pLAT is labeled with AlexaFluor488 (green), Actin is labeled with Rhodamine (magenta)"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.1uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, and Nck were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,100 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.1uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.25uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.25uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, and Nck were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.25uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.25uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.5uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.5uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, and Nck were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,500 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 0.5uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 0.5uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 1uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, and Nck were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,1000 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 1uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 2uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 2uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, and Nck were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,2000 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck 2uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... Nck 2uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.1uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,100 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.1uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.25uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.25uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.25uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.25uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.5uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.5uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,500 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 0.5uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 0.5uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 1uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,1000 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 1uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 1uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 2uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 2uM Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine. Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP were added to bilayers coated with His-pLAT to induce phase separation. F-Actin at the noted concentration was then added to the bilayer to determine actin binding to pre-formed condensates.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,2000 nM,0 nM,50 mM,0.05 mM,"Apparent actin affinity for condensates of pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 2uM Actin",Actin Apparent Binding Affinity for Clusters/pLAT ... WIPNWASP 2uM Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
Actin binding to pLAT 250nM Actin,Clusters Binding Actin/pLAT Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,Actin was labeled with Rhodamine. F-Actin at the noted concentration was added to a bilayer coated with pLAT to determine actin binding.,20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,Actin binding to pLAT 250nM Actin,Clusters Binding Actin/pLAT Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2 250nM Actin",Clusters Binding Actin/pLAT ... Grb2 Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,Actin was labeled with Rhodamine. F-Actin at the noted concentration was added to a bilayer coated with pLAT and Grb2 to determine actin binding.,20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM ,0 nM,0 nM,0 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2 250nM Actin",Clusters Binding Actin/pLAT ... Grb2 Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1 250nM Actin",Clusters Binding Actin/pLAT … Sos1 Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, and Sos1.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, 250nM Actin",Clusters Binding Actin/pLAT … Sos1 Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, pSLP-76 250nM Actin",Clusters Binding Actin/pLAT … pSLP-76 Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, and pSLP-76.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, pSLP-76, 250nM Actin",Clusters Binding Actin/pLAT … pSLP-76 Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck 250nM Actin",Clusters Binding Actin/pLAT … Nck Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, pSLP-76, and Nck.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, 250nM Actin",Clusters Binding Actin/pLAT … Nck Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 250nM Actin",Clusters Binding Actin/pLAT … WIPNWASP Actin,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, pSLP-76, Nck, and WIP-N-WASP.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM,0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, WIP-N-WASP 250nM Actin",Clusters Binding Actin/pLAT … WIPNWASP Actin,"Each image is a single data point, 15 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, Nck, NWASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BP,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, pSLP-76, Nck, and N-WASP_Basic_Proline.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM (N-WASP_Basic_Proline),0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, Nck, NWASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BP,"Each image is a single data point, 5 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, N-WASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BPVCA_RARA,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, pSLP-76, Nck, and N-WASP_Basic_Proline_VCA domain with 2 RtoA mutations in the WH2 actin-binding motif of N-WASP.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,"125 nM (N-WASP BPVCA RtoA, RtoA)",0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, N-WASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BPVCA_RARA,"Each image is a single data point, 5 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, N-WASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BPVCA,,,,,,,,,,Each image represents a single data point,pLAT-AlexaFluor488; Actin-Rhodamine,"Actin was labeled with Rhodamine, F-Actin at the noted concentration was added to a bilayer coated with pLAT clusters composed of pLAT, Grb2, Sos1, pSLP-76, Nck, and N-WASP_Basic_Proline_VCA.",20 nM (sol'n); 500 molecules/μm2,0 nM (sol'n); 0 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,125 nM (N-WASP BPVCA),0 nM,250 nM,0 nM,50 mM,0.05 mM,"Actin binding to pLAT, Grb2, Sos1, pSLP-76, Nck, N-WASP fragments 250nM Actin",Clusters with NWASP Fragments Binding Actin/pLAT ... NWASP_BPVCA,"Each image is a single data point, 5 data points in the image stack",raw,"Single Channel, Actin Is labeled with Rhodamine"
